job_role,required_skills
Data Scientist,"Python, SQL, Machine Learning, Statistics, Data Analysis, Pandas, NumPy"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Linux, Automation, Git, Cloud Computing"
Backend Developer,"Java, Python, SQL, APIs, Spring Boot, REST, Microservices, Git"
Frontend Developer,"JavaScript, React, HTML, CSS, TypeScript, UI Design, Web Design, Git"
Cloud Architect,"AWS, Azure, Cloud Computing, Networking, Security, Automation, Terraform"
Data Engineer,"Python, SQL, ETL, Apache Spark, Data Warehousing, AWS, Airflow, Pandas"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, PyTorch, Deep Learning, Statistics, Algorithms"
Full Stack Developer,"JavaScript, Python, React, Node.js, SQL, APIs, Git, HTML, CSS"
Site Reliability Engineer,"Linux, Kubernetes, Docker, Automation, Monitoring, Python, CI/CD, Cloud Computing"
Cybersecurity Analyst,"Security, Networking, Linux, Python, Risk Assessment, Encryption, Firewalls"
Mobile App Developer,"Java, Kotlin, Swift, Mobile Development, APIs, UI Design, Git"
Database Administrator,"SQL, Database Design, Data Modeling, Backup Recovery, Linux, Performance Tuning"
AI Research Scientist,"Python, Machine Learning, Deep Learning, Statistics, Research, Algorithms, NLP"
QA Automation Engineer,"Automation, Python, Java, Testing, CI/CD, Selenium, Git"
Systems Administrator,"Linux, Networking, Automation, Bash Scripting, Security, Cloud Computing"
Business Intelligence Analyst,"SQL, Data Analysis, Data Visualization, Excel, Statistics, Power BI"
Blockchain Developer,"Solidity, Python, Cryptography, Smart Contracts, JavaScript, Security"
Game Developer,"C++, Unity, Game Design, Algorithms, 3D Graphics, Git"
Network Engineer,"Networking, Security, Linux, Automation, Cloud Computing, Firewalls"
NLP Engineer,"Python, NLP, Machine Learning, Deep Learning, Algorithms, Statistics, Linguistics"
